method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,abstention_rate,gamma,criterion,direction
DCL-reg(G=2),0.6264058038824899,0.7093479764010739,0.6507786691835772,0.6305820709224953,0.21811633350158066,0.6086211659433665,0.7017737618731842,0.6787603930461074,0.6244507683279981,0.20991126904864343,0.6268652412066945,0.7267650336209528,0.09989979241425828,0.6547470309069481,0.0065302695775026,compas,0,0.0,2.0,regret,two-sided
DCL(G=3),0.6393708755595275,0.7041392408473344,0.6087777253421425,0.5741152647695333,0.2241393793840229,0.6258168975425193,0.6982135956605331,0.6492819349962207,0.5663693699281049,0.21782220267909802,0.6190042937445597,0.7169642608345904,0.09795996709003074,0.6518275996489049,0.036486245967638956,compas,0,0.33883907503539407,3.0,risk,two-sided
DCL-reg(G=3),0.6264818042309187,0.7096945968516806,0.6507786691835772,0.6305820709224953,0.21815571855929347,0.6090558947206912,0.7022866166374857,0.6787603930461074,0.6244507683279981,0.2100986824817111,0.6269365966793488,0.7266786782927966,0.09974208161344789,0.6534816373695282,0.008031567083961383,compas,0,0.0,3.0,regret,two-sided
Manski(G=inf),0.6799994289781817,0.5802008782248722,0.5469561113732893,0.5025906735751295,0.24356920321761774,0.6742101258827637,0.5892534265854368,0.6054421768707483,0.5038022813688213,0.24076524809226424,0.5410999995710469,0.5849723139511062,0.04387231438005923,0.6820540563688092,0.08981544250964354,compas,0,,,,
ORACLE(uncensored),0.6252269658115557,0.7139429423227163,0.6743747050495517,0.665229299305861,0.21526581604739484,0.6078277639522952,0.7086114278353712,0.6878306878306878,0.6549274608679888,0.20850585893320614,0.6089649323004311,0.711100296455928,0.10213536415549684,0.7175934614870975,0.07900430495819646,compas,0,,,,
ERM-observed,0.6371248801295205,0.7087415453063504,0.6639924492685229,0.6514401123990166,0.2192499866104813,0.6199187282644956,0.7044719956937836,0.6718266253869969,0.634588218050224,0.21255813957307862,0.612793545104153,0.7112949052998236,0.09850136019567068,0.7250372173712135,0.07293334654755619,compas,1,,,,
IPW,0.6418895990579411,0.7046738357065017,0.6639924492685229,0.6515396323615502,0.22089153115226362,0.6258571734570261,0.698506723408987,0.6726006191950464,0.6352187350741837,0.21448205233440645,0.612288679845222,0.7111119380346594,0.09882325818943749,0.7280473945549284,0.07586848324224281,compas,1,,,,
AIPW,0.6709279330843891,0.7003787162375149,0.661160924964606,0.647383210396909,0.2228307624148342,0.6461992252644304,0.694694559358313,0.6710526315789473,0.6332147270581516,0.21571810100879615,0.6088383283734771,0.7070264794763043,0.09818815110282719,0.767309671930047,0.11631252984986734,compas,1,,,,
Imputation,0.6264940829479957,0.7095255464591608,0.662104766399245,0.645849432150802,0.21608695588113438,0.6082799938713332,0.7051631636539157,0.6749226006191951,0.6319094683692732,0.2081251281894956,0.6134090416440074,0.711040303547741,0.0976312619037335,0.6979873786530149,0.04543030934605388,compas,1,,,,
Heckman(rho=-0.52),0.6287692582320533,0.7281096610917475,0.656441717791411,0.6634117784802716,0.21643171472546477,0.6298482667949473,0.7247331990588997,0.6602167182662538,0.6648795699848625,0.215728672589269,0.5865205021904093,0.687417858160519,0.10089735597010974,0.7557986752361983,0.12284919424128876,compas,1,,,,
DCL(G=1),0.619752394528544,0.7189578773878037,0.6677678150070788,0.6445088397143192,0.21504499464183363,0.6014039118960773,0.7125587871834462,0.6865325077399381,0.6294796402388636,0.20655794950472633,0.6181264437896895,0.7159134006609661,0.09778695687127659,0.6631856023228625,0.0068583990778921106,compas,1,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.619752394528544,0.7189578773878037,0.6677678150070788,0.6445088397143192,0.21504499464183363,0.6014039118960773,0.7125587871834462,0.6865325077399381,0.6294796402388636,0.20655794950472633,0.6181264437896895,0.7159134006609661,0.09778695687127659,0.6631856023228625,0.0068583990778921106,compas,1,0.0,1.0,regret,two-sided
DCL(G=1.5),0.6239172912730256,0.7186147361595201,0.6479471448796602,0.6185985247629083,0.21689445117840536,0.6070733363335711,0.712474128585039,0.6772445820433437,0.6096543654774871,0.20901152341882828,0.6179081212462094,0.7152500017978012,0.09734188055159176,0.6576631717703986,0.0142933005874333,compas,1,0.12222746578574799,1.5,risk,two-sided
DCL-reg(G=1.5),0.619879310787594,0.7190033593616313,0.6677678150070788,0.6445088397143192,0.2150962451674695,0.601653228666565,0.7126472364653645,0.6865325077399381,0.6294796402388636,0.20665742615729865,0.6181414528186202,0.7159011586680762,0.09775970584945604,0.6628046109662541,0.006477407721283726,compas,1,0.0,1.5,regret,two-sided
DCL(G=2),0.6293969322555433,0.716669368566102,0.6352052855120339,0.6013874253600281,0.2194032487043945,0.6137806158078339,0.710154230276442,0.6710526315789473,0.5938371067481748,0.21204092439054284,0.6159979782682761,0.7128989415987225,0.0969009633304464,0.6569437389259191,0.02268371688461526,compas,1,0.22557810287871638,2.0,risk,two-sided
DCL-reg(G=2),0.620145140104647,0.7190799131789647,0.6677678150070788,0.6445088397143192,0.21520416832756842,0.6021418360646578,0.7126548178323862,0.6865325077399381,0.6294796402388636,0.20685350746208314,0.618169686302214,0.7158753329485928,0.09770564664637882,0.6621530211739134,0.006129866431681213,compas,1,0.0,2.0,regret,two-sided
DCL(G=3),0.639348919671224,0.7098916538326443,0.6168003775365739,0.5779534012410724,0.22404702302059218,0.6254412402961252,0.7055182243427587,0.6571207430340558,0.5698572428589841,0.21742507075170625,0.6096790973645455,0.7062107578369896,0.0965316604724441,0.6593871372122716,0.03548973957123125,compas,1,0.3473336479471449,3.0,risk,two-sided
DCL-reg(G=3),0.6208266256379054,0.7192321201804869,0.6677678150070788,0.6445088397143192,0.21548358063353149,0.6032793146386101,0.7128064451728173,0.6865325077399381,0.6294796402388636,0.2073148519541322,0.6182204578565564,0.7158148815897294,0.09759442373317295,0.6609859248302189,0.007500533871351636,compas,1,0.0,3.0,regret,two-sided
Manski(G=inf),0.6810116475430015,0.5850440859924528,0.5530910806984427,0.5010537407797682,0.24401752369560512,0.6768356111242715,0.594869436224277,0.6153250773993808,0.5020040080160321,0.24195136851821808,0.5387117998702047,0.5819796965469596,0.0432678966767549,0.6840769690715566,0.08079386305657345,compas,1,,,,
ORACLE(uncensored),0.6190087975869903,0.7192005980204084,0.6715431807456347,0.6627561175506381,0.21320027879245243,0.6083392310900151,0.7117968597977796,0.6795665634674922,0.6509235368593429,0.20874914118043641,0.601688420726623,0.7008265312267228,0.0991381105000998,0.7319866977860248,0.0847874774698226,compas,1,,,,
ERM-observed,0.665873015060632,0.6926858998578651,0.6507786691835772,0.6399214659685863,0.22940062613317586,0.6522931291827581,0.6878717037149098,0.6744186046511628,0.6402416251430084,0.2224328639153722,0.6342892098465394,0.7330757999260046,0.09878659007946522,0.7156454273171455,0.07110495564942265,compas,2,,,,
IPW,0.670593194668303,0.6903870027527392,0.6521944313355357,0.6407400910383044,0.23099512595931185,0.6545831076668118,0.6871365694997305,0.6759189797449362,0.64112922288513,0.2231632114475244,0.6332921308083579,0.7324389814738649,0.09914685066550699,0.7203429786872084,0.07583465712573066,compas,2,,,,
