method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
Imputation,0.5551156417557471,0.6321623832278618,0.7466071428571428,0.5258203646304189,0.18496771108725438,0.6055421835991377,0.6252994354603502,0.6836158192090396,0.5282580889667914,0.2085257606455941,0.4400557086096221,0.6732406775886457,0.23318496897902358,0.729540739512266,0.059447307526032785,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
Heckman(rho=+0.36),0.5357022829391235,0.661648188955616,0.7501785714285715,0.5166454109087778,0.17779404796427972,0.6111757911451715,0.6450654577188853,0.6875,0.5210759186254706,0.21005252414634049,0.4271003218031906,0.6712195179560483,0.2441191961528577,0.8416864739123717,0.16563951355174927,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
DCL(G=1),0.5601044427597456,0.6274016988462697,0.7471428571428571,0.5053542985061776,0.18680560464227985,0.6103292792569933,0.6221317122200489,0.6793785310734464,0.5044607821593827,0.21048456205952018,0.44409894721906423,0.6862153642132838,0.24211641699421954,0.7187952754370014,0.03985707973538935,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.5601044427597456,0.6274016988462697,0.7471428571428571,0.5053542985061776,0.18680560464227985,0.6103292792569933,0.6221317122200489,0.6793785310734464,0.5044607821593827,0.21048456205952018,0.44409894721906423,0.6862153642132838,0.24211641699421954,0.7187952754370014,0.03985707973538935,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.0,regret,two-sided
DCL(G=1.5),0.5800433943890272,0.6171365467196177,0.7466071428571428,0.5024497933617461,0.1954801237104035,0.6150642877140482,0.6216899432492393,0.678319209039548,0.5016694757617803,0.21239884706483408,0.44327646797571346,0.6846835198755895,0.24140705189987605,0.695199975732105,0.0462309047474011,sl_bench,1,2.999974706559502,0.5045,0.247375,0.015535714285714286,1.5,risk,two-sided
DCL-reg(G=1.5),0.5610750229213485,0.6270852167549184,0.7471428571428571,0.5053542985061776,0.1871983450725136,0.6104854367271735,0.6222778270217637,0.6793785310734464,0.5044607821593827,0.2105365764237619,0.4442231643239478,0.6861583130878478,0.2419351487639,0.7171345267950722,0.03819633109345992,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.5,regret,two-sided
DCL(G=2),0.6005232324233081,0.6055356787313272,0.7457142857142857,0.500694175384218,0.2049466183176788,0.6237300663784768,0.617943753791993,0.6772598870056498,0.5000265403839053,0.2163198019460468,0.44012106230869724,0.6815757704613737,0.2414547081526765,0.6847921156800718,0.06956538733443968,sl_bench,1,2.999974706559502,0.5045,0.247375,0.046964285714285715,2.0,risk,two-sided
DCL-reg(G=2),0.5629243246046904,0.6264430036269317,0.7471428571428571,0.5053542985061776,0.18795371110300088,0.6108421395632513,0.6224416354127487,0.6793785310734464,0.5044607821593827,0.2106627447980252,0.4444291056442559,0.6860065053089229,0.24157739966466701,0.7142155290113115,0.0352773333096994,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,2.0,regret,two-sided
DCL(G=3),0.6338398225437617,0.5824706589823065,0.7457142857142857,0.5004627835894787,0.2209042514779978,0.6414208335692894,0.6070465004648848,0.676906779661017,0.49947889525794686,0.22468659148572462,0.4321348325955926,0.6735208270174204,0.24138599442182784,0.6798434990553095,0.1055962224301503,sl_bench,1,2.999974706559502,0.5045,0.247375,0.20267857142857143,3.0,risk,two-sided
DCL-reg(G=3),0.5670405466710563,0.6246764550777045,0.7471428571428571,0.5053542985061776,0.18966515668629255,0.611860516124622,0.6226117221741198,0.6793785310734464,0.5044607821593827,0.21104897285550284,0.4447851286471445,0.6855366993737234,0.24075157072657893,0.708657865302707,0.0297199090779413,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,3.0,regret,two-sided
DCL(G=5),0.6658131994327384,0.547938965032933,0.7453571428571428,0.49976053639846746,0.2365234721497187,0.6637395946266215,0.5832554720278622,0.676906779661017,0.49947889525794686,0.23552216544406687,0.41939669859003115,0.6492284752340292,0.229831776643998,0.6835288043697829,0.13848086501598536,sl_bench,1,2.999974706559502,0.5045,0.247375,0.5282142857142857,5.0,risk,two-sided
DCL-reg(G=5),0.5741321808400472,0.6208011470037453,0.7471428571428571,0.5053542985061776,0.19269733059008728,0.61413068952755,0.6225906040191844,0.6793785310734464,0.5044607821593827,0.21196817451482733,0.44503206328775824,0.6843535999365671,0.23932153664880884,0.7012858879027245,0.03765075309024359,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,5.0,regret,two-sided
Manski(G=inf),0.6906839391873362,0.5047848998019717,0.7455357142857143,0.4998802681992337,0.24878009983889293,0.6890706225248487,0.5150483976742634,0.6772598870056498,0.49973944762897343,0.24798310263778872,0.48157766806353935,0.5211550215831297,0.0395773535195903,0.6918935680540689,0.1621375579031223,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
ORACLE(uncensored),0.5413277816882026,0.6424805065865944,0.7482142857142857,0.5144027939213913,0.17979226698427497,0.6172995464074373,0.6206574367011845,0.6832627118644068,0.5159396408886291,0.21271074784519192,0.4284711572765633,0.6739270914670433,0.24545593419048,0.8113759476094977,0.13587891616703263,sl_bench,1,2.999974706559502,0.5045,0.247375,,,,
