gamma,log_gamma,B,n,seed,deviation
2.0,0.6931471805599453,5.6564375855915285,500,3,0.10352530078966193
2.0,0.6931471805599453,5.6564375855915285,500,4,0.10669961474821443
2.0,0.6931471805599453,5.6564375855915285,500,5,0.08155025467800514
2.0,0.6931471805599453,5.6564375855915285,500,6,0.12157321732758275
2.0,0.6931471805599453,5.6564375855915285,500,7,0.10655452376621821
2.0,0.6931471805599453,5.6564375855915285,1000,0,0.09832930336314516
2.0,0.6931471805599453,5.6564375855915285,1000,1,0.08457040413874783
2.0,0.6931471805599453,5.6564375855915285,1000,2,0.11667458827675814
2.0,0.6931471805599453,5.6564375855915285,1000,3,0.05379873354274012
2.0,0.6931471805599453,5.6564375855915285,1000,4,0.08549791585805733
2.0,0.6931471805599453,5.6564375855915285,1000,5,0.07411457150051537
2.0,0.6931471805599453,5.6564375855915285,1000,6,0.08299118531977623
2.0,0.6931471805599453,5.6564375855915285,1000,7,0.07446695020972549
2.0,0.6931471805599453,5.6564375855915285,2000,0,0.05327640855813698
2.0,0.6931471805599453,5.6564375855915285,2000,1,0.058592930679946864
2.0,0.6931471805599453,5.6564375855915285,2000,2,0.050215438313273575
2.0,0.6931471805599453,5.6564375855915285,2000,3,0.055132567333309845
2.0,0.6931471805599453,5.6564375855915285,2000,4,0.05220232120356738
2.0,0.6931471805599453,5.6564375855915285,2000,5,0.06250735507447125
2.0,0.6931471805599453,5.6564375855915285,2000,6,0.06517953645825925
2.0,0.6931471805599453,5.6564375855915285,2000,7,0.06126042967294998
2.0,0.6931471805599453,5.6564375855915285,4000,0,0.037628553655655095
2.0,0.6931471805599453,5.6564375855915285,4000,1,0.036568626312626806
2.0,0.6931471805599453,5.6564375855915285,4000,2,0.029877554664775374
2.0,0.6931471805599453,5.6564375855915285,4000,3,0.030348382295310783
2.0,0.6931471805599453,5.6564375855915285,4000,4,0.02795689261181833
2.0,0.6931471805599453,5.6564375855915285,4000,5,0.02532742047911496
2.0,0.6931471805599453,5.6564375855915285,4000,6,0.050752377483664235
2.0,0.6931471805599453,5.6564375855915285,4000,7,0.028023589596647636
2.0,0.6931471805599453,5.6564375855915285,8000,0,0.023686749093579706
2.0,0.6931471805599453,5.6564375855915285,8000,1,0.023496164712963452
2.0,0.6931471805599453,5.6564375855915285,8000,2,0.025204409727738852
2.0,0.6931471805599453,5.6564375855915285,8000,3,0.035712920026990336
2.0,0.6931471805599453,5.6564375855915285,8000,4,0.022846891284202586
2.0,0.6931471805599453,5.6564375855915285,8000,5,0.026903037003954022
2.0,0.6931471805599453,5.6564375855915285,8000,6,0.0219917451148528
2.0,0.6931471805599453,5.6564375855915285,8000,7,0.02757903610810053
3.0,1.0986122886681098,6.061902693699693,250,0,0.16381274591819106
3.0,1.0986122886681098,6.061902693699693,250,1,0.13827697766395586
3.0,1.0986122886681098,6.061902693699693,250,2,0.1356958865143969
3.0,1.0986122886681098,6.061902693699693,250,3,0.13534813477896313
3.0,1.0986122886681098,6.061902693699693,250,4,0.15647787178528771
3.0,1.0986122886681098,6.061902693699693,250,5,0.14252111603732298
3.0,1.0986122886681098,6.061902693699693,250,6,0.16532582152602582
3.0,1.0986122886681098,6.061902693699693,250,7,0.2061257647837853
3.0,1.0986122886681098,6.061902693699693,500,0,0.12223295179312688
3.0,1.0986122886681098,6.061902693699693,500,1,0.13034902797771908
3.0,1.0986122886681098,6.061902693699693,500,2,0.11090059182737178
3.0,1.0986122886681098,6.061902693699693,500,3,0.11312623447271464
