n,ensemble,naive_total,naive_aleatoric,naive_epistemic,censoring,sampling,credal_total,ratio_epistemic_to_censoring,naive_inside_identified,mean_abs_calibration_error,seed
2000,mlp,0.45140751794756845,0.25514127416189597,0.1962662437856725,0.12944759485636353,0.5291480196061055,0.6736096031059957,1.5161830082934462,False,0.15996997293818022,2
5000,logistic,0.5207546731974225,0.5128351093296094,0.007919563867813267,0.13182516439496664,0.08856558707753823,0.6089067636790656,0.0600762677153593,True,0.036444249179382666,2
5000,mlp,0.41933025513993377,0.16812511531173904,0.25120513982819476,0.13182516439496664,0.5169371391011103,0.6502126906464466,1.9055932225166738,False,0.14423930763052117,2
12000,logistic,0.5674688210655817,0.5637212795012173,0.0037475415643645213,0.13400886134514692,0.034771523363017594,0.6308100931440731,0.027964878790459457,True,0.024074065288754252,2
12000,mlp,0.5100009184689882,0.20658233718515967,0.3034185812838285,0.13400886134514692,0.5465313022551281,0.6828205110747723,2.2641680426069577,False,0.13739247286265457,2
30000,logistic,0.5734191413072682,0.5721149131415705,0.0013042281656977838,0.1276121221452623,0.006294653067460293,0.6302196117157429,0.010220252933441278,True,0.015631554558218227,2
30000,mlp,0.5285510194228968,0.3007253367621612,0.22782568266073572,0.1276121221452623,0.5403524283855512,0.6856325071774515,1.785298127096415,False,0.11086096956772165,2
70000,logistic,0.5637503998453531,0.5630154598805623,0.000734939964790816,0.13490149727496153,0.0037770859740696924,0.6296485768146715,0.005447974853035415,True,0.009864801696430517,2
70000,mlp,0.5329736921417288,0.3992083964453338,0.13376529569639498,0.13490149727496153,0.46386611216272194,0.6817200493676501,0.9915775465690295,False,0.08359525850641837,2
2000,logistic,0.44202880714557885,0.42646017014091586,0.015568637004662983,0.13335857697396736,0.18734264934675474,0.5854370678700698,0.11674267495897248,False,0.06375750827144101,3
2000,mlp,0.3184481157150425,0.1424232130209841,0.1760249026940584,0.13335857697396736,0.4684802130284802,0.6039258589336598,1.3199368701153722,False,0.16917486987500704,3
5000,logistic,0.5442721098719967,0.5376789491139295,0.006593160758067238,0.12804773221260246,0.06882002805360055,0.629456913850847,0.051489867443496505,True,0.032609562950807906,3
5000,mlp,0.445545622187784,0.17121628129586863,0.2743293408919153,0.12804773221260246,0.5426548029525812,0.6717238493834916,2.1423990581608736,False,0.1378716402640158,3
12000,logistic,0.580505734354221,0.5776761678278829,0.002829566526338158,0.13327138375428838,0.019286698165695233,0.6437590692716342,0.021231613618982244,True,0.017366775948665838,3
12000,mlp,0.5502572151900796,0.4611530974952991,0.08910411769478058,0.13327138375428838,0.4008630265651883,0.6788800448748347,0.668591524937276,False,0.08691016872758234,3
30000,logistic,0.5648248048994657,0.5631315963605332,0.0016932085389325866,0.13609449567206836,0.015386720936537951,0.6311977762571176,0.012441418226145761,True,0.018786174999927345,3
30000,mlp,0.5188901502448999,0.2941843414354505,0.22470580880944946,0.13609449567206836,0.5294487209348855,0.6827503529519483,1.6511013740842087,False,0.11230640904366637,3
70000,logistic,0.5834914862293422,0.5828300184428752,0.0006614677864670053,0.13367268602590265,0.003542008715063453,0.6415829366168299,0.004948413966476504,True,0.010639516670104425,3
70000,mlp,0.5629535776291472,0.4186340405733104,0.14431953705583686,0.13367268602590265,0.4688459757140037,0.6889558845436895,1.079648665306771,False,0.0846295772994023,3
2000,logistic,0.5961295256329202,0.5828335198824091,0.013296005750511241,0.13024752405059303,0.09772885772904345,0.6641988409726615,0.10208259886265918,True,0.03412283248242355,4
2000,mlp,0.4593193336447534,0.2449302883086242,0.2143890453361292,0.13024752405059303,0.5429797427815334,0.6816029255139372,1.6460124436058565,False,0.1623843571848495,4
5000,logistic,0.5130862141417118,0.5057988093643887,0.0072874047773231155,0.14000423327706568,0.06894452187374797,0.6018722990774357,0.052051317354822275,True,0.03301549691939598,4
5000,mlp,0.41365989713772183,0.16288590687530258,0.2507739902624192,0.14000423327706568,0.5108901972239607,0.6519569422798079,1.7911886261763408,False,0.14065648133242906,4
12000,logistic,0.5648636118022036,0.5614320091639883,0.0034316026382154355,0.1284081215630948,0.03134945037842422,0.632343747064051,0.026724186885089492,True,0.025695397312342175,4
12000,mlp,0.48214029756868854,0.18794147080432472,0.2941988267643638,0.1284081215630948,0.5504494346947668,0.6802183386785449,2.2911232029806294,False,0.13982205961122784,4
30000,logistic,0.6097266101600495,0.6083987168981428,0.00132789326190652,0.1308842474094082,0.006982735558098666,0.6695344098634807,0.0101455544741977,True,0.020507074798147548,4
30000,mlp,0.5642251144413342,0.32300132035344586,0.2412237940878882,0.1308842474094082,0.5402928528156355,0.6918031957327491,1.843031524896468,False,0.11864160331025451,4
70000,logistic,0.5766663100264512,0.5759456055286788,0.0007207044977724562,0.14168201493194624,0.0032449462521417388,0.64303086926512,0.005086774761910539,True,0.010172872116304769,4
70000,mlp,0.5475926450482057,0.40759590759130215,0.1399967374569035,0.14168201493194624,0.4609207909765538,0.6863121055785962,0.9881052123951496,False,0.0843962034156328,4
